time,open,high,low,close,volume
2022-03-18 19:58:00,2.85,2.85,2.85,2.85,250
2022-03-18 19:52:00,2.85,2.85,2.85,2.85,500
2022-03-18 19:42:00,2.85,2.85,2.85,2.85,250
2022-03-18 19:41:00,2.85,2.85,2.85,2.85,500
2022-03-18 19:09:00,2.86,2.86,2.86,2.86,250
2022-03-18 18:20:00,2.8,2.8,2.8,2.8,700
2022-03-18 17:36:00,2.89,2.9,2.89,2.9,1000
2022-03-18 17:31:00,2.9,2.9,2.9,2.9,1300
2022-03-18 17:21:00,2.84,2.9,2.84,2.9,597
2022-03-18 17:20:00,2.84,2.85,2.84,2.85,1000
2022-03-18 17:09:00,2.76,2.76,2.76,2.76,236
2022-03-18 17:01:00,2.78,2.79,2.78,2.79,3356
2022-03-18 16:00:00,2.73,2.74,2.73,2.73,2289
2022-03-18 15:59:00,2.74,2.74,2.73,2.73,5779
2022-03-18 15:58:00,2.73,2.75,2.73,2.74,4365
2022-03-18 15:57:00,2.73,2.73,2.73,2.73,1214
2022-03-18 15:56:00,2.745,2.75,2.74,2.75,2590
2022-03-18 15:55:00,2.7413,2.75,2.7413,2.75,3756
2022-03-18 15:52:00,2.748,2.7486,2.74,2.7433,1296
2022-03-18 15:51:00,2.735,2.75,2.735,2.745,4805
2022-03-18 15:50:00,2.74,2.74,2.73,2.735,3119
2022-03-18 15:49:00,2.74,2.749,2.73,2.73,3627
2022-03-18 15:48:00,2.75,2.75,2.73,2.73,3632
2022-03-18 15:46:00,2.74,2.748,2.74,2.748,703
2022-03-18 15:45:00,2.75,2.75,2.75,2.75,108
2022-03-18 15:44:00,2.73,2.7499,2.73,2.7499,206
2022-03-18 15:43:00,2.73,2.7498,2.73,2.74,2627
2022-03-18 15:42:00,2.75,2.75,2.73,2.74,4354
2022-03-18 15:41:00,2.74,2.74,2.74,2.74,1150
2022-03-18 15:40:00,2.74,2.7401,2.74,2.7401,543
2022-03-18 15:39:00,2.75,2.7567,2.7401,2.7508,2074
2022-03-18 15:38:00,2.76,2.76,2.75,2.7501,4457
2022-03-18 15:37:00,2.77,2.77,2.77,2.77,520
2022-03-18 15:36:00,2.7776,2.78,2.77,2.78,1460
2022-03-18 15:30:00,2.775,2.775,2.77,2.77,1990
2022-03-18 15:27:00,2.7771,2.7771,2.77,2.77,464
2022-03-18 15:26:00,2.7701,2.7716,2.7701,2.7716,2003
2022-03-18 15:25:00,2.7869,2.7869,2.78,2.78,3123
2022-03-18 15:23:00,2.79,2.79,2.7728,2.7728,435
2022-03-18 15:22:00,2.79,2.79,2.79,2.79,100
2022-03-18 15:21:00,2.79,2.79,2.79,2.79,125
2022-03-18 15:20:00,2.78,2.78,2.78,2.78,713
2022-03-18 15:19:00,2.78,2.78,2.77,2.77,1152
2022-03-18 15:18:00,2.77,2.77,2.765,2.7697,2924
2022-03-18 15:17:00,2.77,2.77,2.77,2.77,103
2022-03-18 15:15:00,2.77,2.77,2.77,2.77,493
2022-03-18 15:14:00,2.7701,2.7701,2.7701,2.7701,2002
2022-03-18 15:13:00,2.78,2.78,2.77,2.77,8166
2022-03-18 15:11:00,2.78,2.78,2.78,2.78,2355
2022-03-18 15:10:00,2.78,2.78,2.78,2.78,106
2022-03-18 15:08:00,2.7823,2.7823,2.78,2.78,4101
2022-03-18 15:07:00,2.78,2.78,2.78,2.78,200
2022-03-18 15:06:00,2.77,2.78,2.77,2.78,2706
2022-03-18 15:05:00,2.7699,2.7699,2.7699,2.7699,2001
2022-03-18 15:04:00,2.7699,2.7699,2.7699,2.7699,1000
2022-03-18 15:03:00,2.76,2.76,2.76,2.76,227
2022-03-18 14:57:00,2.7685,2.7685,2.7685,2.7685,1014
2022-03-18 14:54:00,2.77,2.77,2.77,2.77,5008
2022-03-18 14:53:00,2.76,2.76,2.76,2.76,206
2022-03-18 14:52:00,2.77,2.77,2.77,2.77,2727
2022-03-18 14:51:00,2.7679,2.7679,2.7679,2.7679,1005
2022-03-18 14:48:00,2.76,2.76,2.76,2.76,570
2022-03-18 14:47:00,2.7704,2.7704,2.7704,2.7704,305
2022-03-18 14:43:00,2.7779,2.7779,2.76,2.7718,2205
2022-03-18 14:42:00,2.7791,2.7791,2.7791,2.7791,173
2022-03-18 14:41:00,2.7701,2.7701,2.77,2.77,1127
2022-03-18 14:37:00,2.78,2.78,2.77,2.77,1126
2022-03-18 14:33:00,2.79,2.79,2.79,2.79,256
2022-03-18 14:29:00,2.78,2.78,2.78,2.78,255
2022-03-18 14:27:00,2.78,2.78,2.78,2.78,100
2022-03-18 14:26:00,2.78,2.7898,2.78,2.7898,4445
2022-03-18 14:25:00,2.77,2.77,2.77,2.77,1100
2022-03-18 14:23:00,2.78,2.78,2.78,2.78,440
2022-03-18 14:19:00,2.765,2.775,2.765,2.775,2640
2022-03-18 14:16:00,2.76,2.76,2.76,2.76,575
2022-03-18 14:12:00,2.76,2.76,2.76,2.76,451
2022-03-18 14:11:00,2.7654,2.7654,2.7654,2.7654,110
2022-03-18 14:10:00,2.77,2.77,2.77,2.77,477
2022-03-18 14:08:00,2.76,2.77,2.76,2.77,1263
2022-03-18 14:07:00,2.765,2.77,2.765,2.765,3032
2022-03-18 14:05:00,2.77,2.77,2.77,2.77,139
2022-03-18 14:04:00,2.76,2.76,2.76,2.76,1100
2022-03-18 14:03:00,2.76,2.76,2.76,2.76,739
2022-03-18 14:02:00,2.7664,2.7664,2.7664,2.7664,202
2022-03-18 14:01:00,2.7786,2.7786,2.7786,2.7786,125
2022-03-18 14:00:00,2.77,2.77,2.76,2.76,2008
2022-03-18 13:58:00,2.7757,2.7757,2.7757,2.7757,488
2022-03-18 13:55:00,2.77,2.77,2.77,2.77,1123
2022-03-18 13:54:00,2.775,2.7799,2.77,2.775,3471
2022-03-18 13:51:00,2.775,2.775,2.775,2.775,485
2022-03-18 13:50:00,2.775,2.775,2.775,2.775,405
2022-03-18 13:48:00,2.78,2.78,2.7701,2.7701,1790
2022-03-18 13:46:00,2.78,2.78,2.78,2.78,2170
2022-03-18 13:44:00,2.7817,2.7817,2.7817,2.7817,100
2022-03-18 13:40:00,2.79,2.7974,2.79,2.7974,873
2022-03-18 13:37:00,2.795,2.795,2.795,2.795,241
2022-03-18 13:36:00,2.795,2.795,2.795,2.795,300
2022-03-18 13:34:00,2.795,2.795,2.79,2.795,1310
2022-03-18 13:28:00,2.7929,2.8,2.7929,2.8,203
2022-03-18 13:26:00,2.79,2.79,2.79,2.79,711
2022-03-18 13:21:00,2.79,2.79,2.79,2.79,119
2022-03-18 13:15:00,2.79,2.79,2.79,2.79,141
2022-03-18 13:14:00,2.79,2.79,2.79,2.79,602
2022-03-18 13:13:00,2.8,2.8,2.8,2.8,101
